word,size,colorField,tooltipFields
Artificial Intelligence,950,Technology,Trending topic in 2025
Machine Learning,870,Technology,Subset of AI research
Cloud Computing,780,Technology,Enterprise infrastructure
Blockchain,620,Finance,Distributed ledger tech
Cybersecurity,710,Technology,Growing threat landscape
Data Science,830,Technology,Analytics and insights
Cryptocurrency,540,Finance,Digital currency market
Python,760,Programming,Most popular language
JavaScript,720,Programming,Web development staple
TypeScript,580,Programming,Typed JavaScript superset
React,650,Programming,Frontend framework
Kubernetes,490,Technology,Container orchestration
DevOps,530,Technology,CI/CD and automation
Sustainability,610,Environment,Green initiatives
Climate Change,680,Environment,Global policy focus
Renewable Energy,570,Environment,Solar and wind power
Healthcare,640,Healthcare,Post-pandemic evolution
Telemedicine,420,Healthcare,Remote patient care
Genomics,380,Healthcare,DNA sequencing advances
Quantum Computing,460,Technology,Next-gen processing
Robotics,510,Technology,Industrial automation
5G Networks,440,Technology,Mobile connectivity
Metaverse,350,Technology,Virtual worlds concept
NFT,280,Finance,Digital collectibles
DeFi,320,Finance,Decentralized finance
ESG Investing,390,Finance,Ethical investment criteria
Remote Work,550,Workplace,Hybrid work models
Agile,470,Workplace,Project methodology
Microservices,430,Programming,Distributed architecture
API Economy,360,Programming,Integration platforms
Deep Learning,690,Technology,Neural network advances
Natural Language,620,Technology,NLP and chatbots
Computer Vision,510,Technology,Image recognition
Edge Computing,400,Technology,Distributed processing
Digital Twin,340,Technology,Virtual simulations
Augmented Reality,450,Technology,AR experiences
Virtual Reality,410,Technology,Immersive environments
Internet of Things,560,Technology,Connected devices
Big Data,650,Technology,Large-scale analytics
Fintech,580,Finance,Financial technology
Regtech,310,Finance,Regulatory compliance tech
Insurtech,290,Finance,Insurance disruption
Mental Health,520,Healthcare,Wellness awareness
Biotech,480,Healthcare,Biological engineering
Precision Medicine,370,Healthcare,Personalised treatment
Carbon Capture,330,Environment,Emission reduction tech
Circular Economy,350,Environment,Waste minimisation
Smart Cities,410,Environment,Urban innovation
Electric Vehicles,560,Environment,EV adoption growth
Green Hydrogen,300,Environment,Clean fuel alternative
Rust,340,Programming,Systems programming
Go,380,Programming,Cloud-native language
Docker,450,Programming,Containerisation tool
GraphQL,320,Programming,API query language
Terraform,310,Programming,Infrastructure as code
Low Code,400,Workplace,Citizen development
Gig Economy,360,Workplace,Freelance workforce
Upskilling,420,Workplace,Workforce development
Diversity,480,Workplace,Inclusion initiatives
Space Tech,390,Technology,Commercial space race
Autonomous Vehicles,430,Technology,Self-driving cars
Neuromorphic,260,Technology,Brain-inspired chips
Photonics,240,Technology,Light-based computing