category,actual,budget,tooltipFields
Marketing,128000,150000,Q4 Campaign
Sales,245000,200000,North Region
Engineering,310000,300000,Platform Team
HR,88000,95000,Recruitment Drive
Finance,72000,70000,Audit Costs
Operations,195000,210000,Supply Chain
Legal,54000,55000,Compliance Review
Customer Support,112000,100000,Ticket Surge
R&D,420000,380000,AI Initiative
IT Infrastructure,165000,170000,Cloud Migration
Product,230000,225000,Launch Phase 2
Data Science,98000,90000,Model Training
Facilities,47000,60000,Office Downsizing
Executive Office,135000,130000,Board Prep
Procurement,82000,105000,Vendor Renegotiation